Data,Espèce,image,width,height,xmin,ymin,xmax,ymax
TRAIN,MESCHA,Mangeoires/img0.jpg,240.0,135.0,148.82875,37.1025,181.39125,79.555
TRAIN,VEREUR,Mangeoires/img1.jpg,240.0,136.0,75.02,50.15125,151.2375,95.2575
TRAIN,ECUROU,Mangeoires/img2.jpg,240.0,136.0,38.8775,23.71,142.5,135.72625
TRAIN,VEREUR,Mangeoires/img3.jpg,240.0,136.0,39.32125,60.04125,113.85374999999999,95.74
TRAIN,PIEBAV,Mangeoires/img4.jpg,240.0,136.0,56.93,49.18625,126.63750000000002,135.53875
TRAIN,SITTOR,Mangeoires/img5.jpg,240.0,135.0,69.195,78.1375,149.8,122.975
TRAIN,PINARB,Mangeoires/img6.jpg,240.0,135.0,127.9225,59.59,191.0425,84.58875
TRAIN,ECUROU,Mangeoires/img7.jpg,240.0,136.0,79.6025,24.3425,160.6475,117.68875
TRAIN,MESNOI,Mangeoires/img8.jpg,240.0,135.0,97.22625,59.52125,146.35375,85.73375
TRAIN,MESCHA,Mangeoires/img9.jpg,240.0,136.0,48.005,57.14625,94.5575,119.61875
TRAIN,ECUROU,Mangeoires/img10.jpg,240.0,136.0,83.245,42.14625,157.94875,98.58875
TRAIN,MESNON,Mangeoires/img11.jpg,240.0,135.0,162.215,62.6675,211.56,84.865
TRAIN,SITTOR,Mangeoires/img12.jpg,240.0,135.0,57.81625,42.0375,140.075,82.35
TRAIN,MESNON,Mangeoires/img13.jpg,240.0,135.0,81.7375,65.00625,130.5625,89.6375
TRAIN,MESBLE,Mangeoires/img14.jpg,240.0,135.0,83.7025,58.55875,137.76125,86.78625
TRAIN,ROUGOR,Mangeoires/img15.jpg,240.0,135.0,132.435,29.23,176.5,102.31875
TRAIN,PINARB,Mangeoires/img16.jpg,240.0,135.0,140.2,54.40875,170.58,94.075
TRAIN,MESCHA,Mangeoires/img17.jpg,240.0,135.0,39.135,23.86125,102.92875,84.81
TRAIN,PIEBAV,Mangeoires/img18.jpg,240.0,136.0,174.78625,0.0,239.76625,40.72375
TRAIN,ACCMOU,Mangeoires/img19.jpg,240.0,135.0,100.105,40.47875,138.94,97.1625
TRAIN,MESBLE,Mangeoires/img20.jpg,240.0,136.0,2.6575,10.59375,94.075,64.3825
TRAIN,ECUROU,Mangeoires/img21.jpg,240.0,136.0,120.6075,0.0,173.6725,31.82
TRAIN,PIEBAV,Mangeoires/img22.jpg,240.0,136.0,0.47875,50.68375,158.18625,125.3875
TRAIN,PINARB,Mangeoires/img23.jpg,240.0,135.0,127.97,51.6425,170.3625,84.25
TRAIN,ECUROU,Mangeoires/img24.jpg,240.0,136.0,81.3475,53.53,177.395,135.8225
TRAIN,ECUROU,Mangeoires/img25.jpg,240.0,136.0,102.69125,0.4075,167.435,111.87
TRAIN,PIEBAV,Mangeoires/img26.jpg,240.0,136.0,116.21,40.72375,239.76625,136.0
TRAIN,MESNON,Mangeoires/img27.jpg,240.0,136.0,32.32625,21.20625,111.925,66.795
TRAIN,VEREUR,Mangeoires/img28.jpg,240.0,136.0,93.35125,46.05125,132.90875,93.81
TRAIN,SITTOR,Mangeoires/img29.jpg,240.0,135.0,54.4525,68.715,106.69875,107.33625
TRAIN,MESNOI,Mangeoires/img30.jpg,240.0,135.0,171.825,41.92875,218.5025,81.14375
TRAIN,MESBLE,Mangeoires/img31.jpg,240.0,136.0,0.24625,31.09625,71.16,88.2625
TRAIN,MESCHA,Mangeoires/img32.jpg,240.0,136.0,130.015,64.14125,159.20125,91.88
TRAIN,ACCMOU,Mangeoires/img33.jpg,240.0,136.0,0.0,102.7375,57.89375,136.0
TRAIN,PIEBAV,Mangeoires/img34.jpg,240.0,136.0,68.5075,41.2275,167.40125,136.0
TRAIN,ROUGOR,Mangeoires/img35.jpg,240.0,135.0,95.845,36.45,167.23875,88.795
TRAIN,MESBLE,Mangeoires/img36.jpg,240.0,136.0,72.84875,66.3125,126.155,103.69875
TRAIN,MESNOI,Mangeoires/img37.jpg,240.0,135.0,163.60125,62.13375,198.4075,82.18375
TRAIN,MESBLE,Mangeoires/img38.jpg,240.0,136.0,110.23625,42.67375,205.27125,99.11625
TRAIN,VEREUR,Mangeoires/img39.jpg,240.0,135.0,131.3875,29.07875,166.96,119.90875
TRAIN,SITTOR,Mangeoires/img40.jpg,240.0,136.0,128.80875,51.84,240.0,117.68875
TRAIN,ECUROU,Mangeoires/img41.jpg,240.0,136.0,117.71375,28.68375,193.4525,134.57375
TRAIN,MESCHA,Mangeoires/img42.jpg,240.0,135.0,26.6425,38.16,101.8175,107.7075
TRAIN,PINARB,Mangeoires/img43.jpg,240.0,135.0,130.8225,59.89,197.94125,85.01375
TRAIN,ROUGOR,Mangeoires/img44.jpg,240.0,135.0,144.65625,49.03875,182.8825,88.72375
TRAIN,VEREUR,Mangeoires/img45.jpg,240.0,136.0,130.7375,66.55375,189.83375,136.0
TRAIN,ECUROU,Mangeoires/img46.jpg,240.0,136.0,46.72375,28.15375,120.95249999999999,129.41875
TRAIN,MESBLE,Mangeoires/img47.jpg,240.0,135.0,128.9525,62.88875,164.75625,82.65875
TRAIN,MESBLE,Mangeoires/img48.jpg,240.0,136.0,78.4,54.2525,124.70875,82.23125
TRAIN,ACCMOU,Mangeoires/img49.jpg,240.0,136.0,146.6575,47.2575,205.27125,88.98625
TRAIN,MESBLE,Mangeoires/img50.jpg,240.0,136.0,91.90375,57.14625,114.5775,80.785
TRAIN,SITTOR,Mangeoires/img51.jpg,240.0,135.0,175.48375,59.21,215.5775,103.8725
TRAIN,MESNON,Mangeoires/img52.jpg,240.0,136.0,84.4275,78.3725,214.91875,136.0
TRAIN,VEREUR,Mangeoires/img53.jpg,240.0,136.0,141.11,77.64875,221.19125,136.0
TRAIN,PINARB,Mangeoires/img54.jpg,240.0,135.0,113.76375,53.8925,210.8125,94.0625
TRAIN,MESBLE,Mangeoires/img55.jpg,240.0,136.0,120.3425,0.0,239.76375,48.95
TRAIN,PIEBAV,Mangeoires/img56.jpg,240.0,136.0,116.68375,45.46625,239.525,135.3475
TRAIN,MESCHA,Mangeoires/img57.jpg,240.0,136.0,1.4525,35.67875,88.76875,88.2625
TRAIN,ACCMOU,Mangeoires/img58.jpg,240.0,135.0,123.74375,47.47375,238.5575,100.0575
TRAIN,ACCMOU,Mangeoires/img59.jpg,240.0,135.0,132.47125,45.62875,183.4675,101.49875
TRAIN,PINARB,Mangeoires/img60.jpg,240.0,135.0,135.22125,51.56625,206.84125,86.6875
TRAIN,MESNON,Mangeoires/img61.jpg,240.0,135.0,150.41625,61.09875,178.56625,81.7125
TRAIN,SITTOR,Mangeoires/img62.jpg,240.0,136.0,19.5375,47.975,112.65,105.3875
TRAIN,MESNOI,Mangeoires/img63.jpg,240.0,135.0,126.095,59.65125,185.11875,93.67625
TRAIN,MESBLE,Mangeoires/img64.jpg,240.0,135.0,153.86875,57.74,186.0075,91.17375
TRAIN,ROUGOR,Mangeoires/img65.jpg,240.0,135.0,138.93625,33.45,189.5125,114.99875
TRAIN,SITTOR,Mangeoires/img66.jpg,240.0,136.0,170.25,67.6625,239.76375,135.2975
TRAIN,VEREUR,Mangeoires/img67.jpg,240.0,136.0,84.6675,60.52375,143.28125,95.01625
TRAIN,MESCHA,Mangeoires/img68.jpg,240.0,135.0,120.36625,35.655,200.4475,87.0325
TRAIN,MESNOI,Mangeoires/img69.jpg,240.0,135.0,95.55625,43.675,120.34625,74.40125
TRAIN,MESBLE,Mangeoires/img70.jpg,240.0,136.0,123.26125,11.3175,218.055,75.47875
TRAIN,MESNOI,Mangeoires/img71.jpg,240.0,135.0,134.9225,63.46125,185.26625,85.595
TRAIN,MESBLE,Mangeoires/img72.jpg,240.0,136.0,87.32125,54.25125,173.6725,136.0
TRAIN,ACCMOU,Mangeoires/img73.jpg,240.0,136.0,0.0,58.1125,67.7875,105.625
TRAIN,PIEBAV,Mangeoires/img74.jpg,240.0,136.0,97.0,48.55,149.41125,135.585
TRAIN,ROUGOR,Mangeoires/img75.jpg,240.0,136.0,108.78875,46.5375,240.0,134.575
TRAIN,PINARB,Mangeoires/img76.jpg,240.0,135.0,156.35375,57.82,210.515,101.25375
TRAIN,ROUGOR,Mangeoires/img77.jpg,240.0,136.0,118.925,47.7375,240.0,136.0
TRAIN,PINARB,Mangeoires/img78.jpg,240.0,135.0,155.195,44.05375,183.3925,104.49875
