2024-12-18 14:31:40,720 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@2145b572: startup date [Wed Dec 18 14:31:40 CET 2024]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2024-12-18 14:31:41,249 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/vhy9665/Desktop/N7-2A/Interg/TP3-JMS/lib/apache-activemq-5.14.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2024-12-18 14:31:41,615 | INFO  | PListStore:[/home/vhy9665/Desktop/N7-2A/Interg/TP3-JMS/lib/apache-activemq-5.14.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2024-12-18 14:31:41,765 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:boole.enseeiht.fr-36055-1734528701623-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2024-12-18 14:31:41,780 | INFO  | Listening for connections at: tcp://boole.enseeiht.fr:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-18 14:31:41,780 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2024-12-18 14:31:41,802 | INFO  | Listening for connections at: amqp://boole.enseeiht.fr:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-18 14:31:41,809 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2024-12-18 14:31:41,813 | INFO  | Listening for connections at: stomp://boole.enseeiht.fr:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-18 14:31:41,918 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2024-12-18 14:31:41,930 | INFO  | Listening for connections at: mqtt://boole.enseeiht.fr:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-12-18 14:31:41,932 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2024-12-18 14:31:42,386 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@49b07ee3{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2024-12-18 14:31:42,446 | INFO  | Listening for connections at ws://boole.enseeiht.fr:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2024-12-18 14:31:42,446 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2024-12-18 14:31:42,448 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:boole.enseeiht.fr-36055-1734528701623-0:1) started | org.apache.activemq.broker.BrokerService | main
2024-12-18 14:31:42,449 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2024-12-18 14:31:42,821 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2024-12-18 14:31:42,903 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2024-12-18 14:31:42,903 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2024-12-18 14:31:42,928 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2024-12-18 14:31:43,054 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2024-12-18 14:31:43,114 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2024-12-18 14:31:59,153 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:boole.enseeiht.fr-36055-1734528701623-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-22
2024-12-18 14:31:59,157 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-22
2024-12-18 14:31:59,158 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-22
2024-12-18 14:31:59,159 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-22
2024-12-18 14:31:59,159 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-22
2024-12-18 14:31:59,164 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-22
